"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.LinkTest","io.klvl.allurelifecycle.LinkTest","testLink","testLink",""
"failed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testCategoryByMessageRegExp2","testCategoryByMessageRegExp2",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","testSignInWithInvalidPassword","testSignInWithInvalidPassword",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.TmsLinkTest","io.klvl.annotations.TmsLinkTest","testMultipleTmsLinks","testMultipleTmsLinks",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","testSignUpWithGoogleWhenAccountAlreadyExists","testSignUpWithGoogleWhenAccountAlreadyExists",""
"failed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","2","Surefire suite","Surefire test","io.klvl.reportinfo.CategoriesTest","io.klvl.reportinfo.CategoriesTest","testSimpleCategory","testSimpleCategory",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testDefaultLinkUsage","testDefaultLinkUsage",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testTrivialSeverity","testTrivialSeverity",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testMinorSeverity","testMinorSeverity",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.LinkTest","io.klvl.annotations.LinkTest","testMultipleLinks","testMultipleLinks",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithCredentialsTest","testSignInWithAlreadyExistingCredentials","testSignInWithAlreadyExistingCredentials",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testSimpleAttach","testSimpleAttach",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.ParametersTest","io.klvl.annotations.ParametersTest","testParameters","testParameters",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachmentWithType","testAddAttachmentWithType",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.SeverityTest","io.klvl.annotations.SeverityTest","testBlockerSeverity","testBlockerSeverity",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","4","Surefire suite","Surefire test","io.klvl.SimpleTest","io.klvl.SimpleTest","testDescriptiveTestName","As a user I see descriptive test name in a report",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignInWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignInWithGoogleTest","testSignInWithNonExistingGoogleAccount","testSignInWithNonExistingGoogleAccount",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.DescriptionTest","io.klvl.annotations.DescriptionTest","testDescriptionDefaultUsage","testDescriptionDefaultUsage","The purpose of this test is to demonstrate how to add description to a report"
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.ParametersTest","io.klvl.allurelifecycle.ParametersTest","testParameters","testParameters",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","20","Surefire suite","Surefire test","io.klvl.SimpleTest","io.klvl.SimpleTest","testSimple","testSimple",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.DescriptionTest","io.klvl.allurelifecycle.DescriptionTest","testDescription","testDescription","The purpose of this test is to demonstrate how to add description to a report!"
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachmentWithExtension","testAddAttachmentWithExtension",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","io.klvl.annotations.epic.feature.story.authorization.SignUpWithGoogleTest","testValidSignUpWithGoogle","testValidSignUpWithGoogle",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","10","Surefire suite","Surefire test","io.klvl.annotations.AttachmentTest","io.klvl.annotations.AttachmentTest","testJsonAttachment","testJsonAttachment",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.allurelifecycle.DescriptionTest","io.klvl.allurelifecycle.DescriptionTest","testDescriptionHtml","testDescriptionHtml",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","5","Surefire suite","Surefire test","io.klvl.allurelifecycle.AttachmentTest","io.klvl.allurelifecycle.AttachmentTest","testAddAttachment","testAddAttachment",""
"unknown","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","0","Surefire suite","Surefire test","io.klvl.annotations.IssueTest","io.klvl.annotations.IssueTest","testIssue","testIssue",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","1","Surefire suite","Surefire test","io.klvl.annotations.epic.feature.story.MultipleStoriesTest","io.klvl.annotations.epic.feature.story.MultipleStoriesTest","testMultipleStories","testMultipleStories",""
"passed","Tue Feb 07 08:57:56 GMT 2023","Tue Feb 07 08:57:56 GMT 2023","6","Surefire suite","Surefire test","io.klvl.allurelifecycle.StepTest","io.klvl.allurelifecycle.StepTest","testStepAsLambda","testStepAsLambda",""
